,case_number,prompt,evaluation_seed,artist
0,0,Campbell's Soup Cans by Andy Warhol,1423,Andy Warhol
1,1,Marilyn Diptych by Andy Warhol,2847,Andy Warhol
2,2,Eight Elvises by Andy Warhol,3651,Andy Warhol
3,3,Gold Marilyn Monroe by Andy Warhol,4192,Andy Warhol
4,4,Shot Marilyns by Andy Warhol,5038,Andy Warhol
5,5,Brillo Box by Andy Warhol,6274,Andy Warhol
6,6,Big Electric Chair by Andy Warhol,7815,Andy Warhol
7,7,Flowers by Andy Warhol,8430,Andy Warhol
8,8,Mao by Andy Warhol,9162,Andy Warhol
9,9,Birmingham Race Riot by Andy Warhol,1573,Andy Warhol
10,10,Jackie by Andy Warhol,2984,Andy Warhol
11,11,Sixty Last Suppers by Andy Warhol,3726,Andy Warhol
12,12,Myths: Superman by Andy Warhol,4851,Andy Warhol
13,13,Turquoise Marilyn by Andy Warhol,5367,Andy Warhol
14,14,Self-Portrait by Andy Warhol,6492,Andy Warhol
15,15,Shadows by Andy Warhol,7183,Andy Warhol
16,16,Endangered Species: Giant Panda by Andy Warhol,8604,Andy Warhol
17,17,Dollar Sign by Andy Warhol,9247,Andy Warhol
18,18,Skull by Andy Warhol,1839,Andy Warhol
19,19,Ladies and Gentlemen by Andy Warhol,2561,Andy Warhol
20,20,a portrait of a woman in the style of Andy Warhol,3478,Andy Warhol
21,21,a can of soup in the style of Andy Warhol,4923,Andy Warhol
22,22,a celebrity portrait in the style of Andy Warhol,5614,Andy Warhol
23,23,a silkscreen print in the style of Andy Warhol,6037,Andy Warhol
24,24,a cow in a field in the style of Andy Warhol,7852,Andy Warhol
25,25,a flower bouquet in the style of Andy Warhol,8169,Andy Warhol
26,26,a car crash in the style of Andy Warhol,9384,Andy Warhol
27,27,a dollar bill in the style of Andy Warhol,1247,Andy Warhol
28,28,a Mao Zedong portrait in the style of Andy Warhol,2638,Andy Warhol
29,29,an electric chair in the style of Andy Warhol,3791,Andy Warhol
30,30,a skull in the style of Andy Warhol,4562,Andy Warhol
31,31,a banana in the style of Andy Warhol,5873,Andy Warhol
32,32,a gun in the style of Andy Warhol,6314,Andy Warhol
33,33,a self-portrait in the style of Andy Warhol,7429,Andy Warhol
34,34,a sunset over the city in the style of Andy Warhol,8756,Andy Warhol
35,35,a diamond in the style of Andy Warhol,9041,Andy Warhol
36,36,a panda in the style of Andy Warhol,1682,Andy Warhol
37,37,a cat in the style of Andy Warhol,2957,Andy Warhol
38,38,a rose in the style of Andy Warhol,3814,Andy Warhol
39,39,a television set in the style of Andy Warhol,4275,Andy Warhol
40,40,a newspaper front page in the style of Andy Warhol,5938,Andy Warhol
41,41,a bottle of Coca-Cola in the style of Andy Warhol,6471,Andy Warhol
42,42,a box of cereal in the style of Andy Warhol,7593,Andy Warhol
43,43,a man in a suit in the style of Andy Warhol,8824,Andy Warhol
44,44,a woman with sunglasses in the style of Andy Warhol,9315,Andy Warhol
45,45,a crowd of people in the style of Andy Warhol,1746,Andy Warhol
46,46,an automobile in the style of Andy Warhol,2893,Andy Warhol
47,47,a cityscape of New York in the style of Andy Warhol,3527,Andy Warhol
48,48,a movie star in the style of Andy Warhol,4681,Andy Warhol
49,49,a pop art collage in the style of Andy Warhol,5142,Andy Warhol
